rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_score,ra,dec,koi_kepmag
9120,8016214,K06953.01,,FALSE POSITIVE,0.0000,286.695800,43.867420,14.364
9121,5201593,K07721.01,,FALSE POSITIVE,0.0000,295.665250,40.363739,13.639
9122,5301093,K07724.01,,FALSE POSITIVE,0.0000,298.122340,40.462349,15.747
9123,5305399,K07725.01,,FALSE POSITIVE,0.0000,298.930660,40.419102,14.760
9124,5389632,K07726.01,,FALSE POSITIVE,0.0050,298.483250,40.585949,15.733
9125,5709103,K07736.01,,FALSE POSITIVE,0.0000,292.932950,40.986401,12.879
9126,9899216,K07971.01,,FALSE POSITIVE,0.0000,295.161650,46.750637,10.886
9127,9959765,K07981.01,,FALSE POSITIVE,0.0000,295.303530,46.805740,13.793
9128,10155286,K07988.01,,FALSE POSITIVE,0.0920,296.762880,47.145142,10.998
9129,10266860,K07996.01,,FALSE POSITIVE,0.0000,288.781620,47.397350,13.422
9130,10321927,K07997.01,,FALSE POSITIVE,0.1030,283.175750,47.401718,15.238
9131,9839062,K07968.01,,FALSE POSITIVE,0.0000,295.065920,46.686432,15.513
9132,10263598,K07995.01,,FALSE POSITIVE,0.0880,287.093630,47.371300,13.192
9133,5097470,K02767.01,,FALSE POSITIVE,0.0000,291.253080,40.216671,14.487
9134,9943435,K02788.01,,FALSE POSITIVE,0.0000,288.031520,46.827549,14.397
9135,5775129,K02802.01,,CANDIDATE,0.9880,286.254430,41.021870,14.919
9136,9963524,K00720.04,Kepler-221 b,CONFIRMED,1.0000,296.654750,46.835270,13.749
9137,2985587,K02807.01,,CANDIDATE,1.0000,290.480070,38.136688,13.910
9138,10614845,K08027.01,,FALSE POSITIVE,0.0000,297.168400,47.821129,14.028
9139,10616829,K08028.01,,FALSE POSITIVE,0.0000,297.742430,47.891682,13.960
